"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.842027500E0,1.379896116E0,9.772326390E0,1.784512768E0,1.002930517E1
2.852070500E0,9.600812352E-1,1.005212852E1,1.910760294E0,1.027706421E1
2.862112500E0,2.838019207E-1,1.027339184E1,1.856144814E0,1.044358162E1
2.872155500E0,-1.554894510E-1,1.040324213E1,1.277759146E0,1.048257088E1
2.882197500E0,-3.892181557E-1,1.062916451E1,-1.110854030E-2,1.063629411E1
2.892240500E0,-7.634732866E-1,1.099594046E1,-1.972595476E0,1.119753237E1
2.902282500E0,-1.218010981E0,1.145549770E1,-4.426615899E0,1.234126844E1
2.912325500E0,-1.533625848E0,1.173363689E1,-5.298259166E0,1.296540755E1
2.922367500E0,-1.534481003E0,1.161134822E1,-3.972068557E0,1.236751260E1
2.932410500E0,-1.536409122E0,1.143635509E1,-3.115788263E0,1.195235990E1
2.942452500E0,-1.647888043E0,1.128013386E1,-2.993584964E0,1.178636949E1
2.952495500E0,-1.963594419E0,1.105846006E1,-3.386299170E0,1.173082538E1
2.962537500E0,-2.355251156E0,1.065729429E1,-3.931990863E0,1.160110692E1
2.972580500E0,-2.797814922E0,1.004009729E1,-5.738308922E0,1.189787843E1
2.982622500E0,-2.935027438E0,8.838278128E0,-1.488235784E1,1.755602806E1
2.992665500E0,-5.685127911E-1,5.816547006E0,-1.658497348E1,1.758456059E1
3.002707500E0,1.497963972E0,-5.471953046E-1,-2.590005228E1,2.594910455E1
3.012750500E0,8.290536693E0,-1.083364164E1,-2.882907463E1,3.189382909E1
3.022792500E0,8.551268132E0,-1.762069664E1,2.717047040E0,1.977360567E1
3.032835500E0,2.067804666E0,-2.672958273E1,1.530409060E1,3.087007610E1
3.042877500E0,7.562642545E-2,-4.745052456E1,4.295521324E0,4.764461674E1
3.052920500E0,-5.999619820E0,-6.034971150E1,-2.794344892E0,6.071154322E1
3.062962500E0,-4.733666641E0,-6.858790977E1,-1.004660056E1,6.948124315E1
3.073005500E0,4.830845026E0,-4.810997355E1,1.027662418E1,4.943192918E1
3.083047500E0,9.683524725E0,-2.044920067E1,2.241860371E1,3.185175429E1
3.093090500E0,7.615690824E0,-8.532608498E0,1.701446901E1,2.050112949E1
3.103132500E0,4.592233019E0,-1.938081263E0,1.160654531E1,1.263157382E1
3.113175500E0,-5.476830794E0,2.621259999E-1,-4.358806323E0,7.004539824E0
3.123217500E0,-1.981117589E1,-3.053732933E0,-2.159051635E1,2.946113323E1
3.133260500E0,-6.230908774E0,-1.136133648E1,4.233759816E0,1.363190790E1
3.143302500E0,5.621882672E0,-1.257142594E1,-1.975002337E-1,1.377262943E1
3.153345500E0,5.908638899E0,-1.146072043E1,-5.903731331E0,1.418147278E1
3.163387500E0,2.055447160E0,-7.317537205E0,-2.674022350E-1,7.605440009E0
3.173430500E0,-1.720998411E0,-2.678398406E0,1.402577466E-1,3.186742190E0
